Category,Lat,Long,Cases
Measles,54.98642,-1.41899,19
Measles,52.14309,-3.37368,41
Measles,50.89362,-0.20681,2
Measles,56.23114,-4.46045,66
Measles,56.20821,-3.14952,19
Measles,51.51121,-0.11982,103
Measles,51.51121,-0.11982,62
Measles,54.77525,-1.58485,1
Measles,52.35552,-1.17432,1385
Measles,53.47932,-2.24849,36
Measles,53.38113,-1.47009,12
Measles,52.36799,-1.12085,70
Measles,55.37805,-3.435973,707
Measles,52.62847,-2.26231,11
Measles,51.61995,-3.81420,2
Measles,50.77721,-3.99946,1
Measles,51.63495,-3.9153,5
Measles,52.13066,-3.78371,543
Measles,40.714353,-74.005973,2
Measles,37.09024,-95.712891,98
Measles,30.61118,-90.00299,1
Whooping Cough,30.69537,-88.03989,15
Whooping Cough,64.83778,-147.71639,130
Measles,64.83778,-147.71596,1
Whooping Cough,34.04893,-111.09373,12000
Whooping Cough,33.44838,-112.07404,1
Measles,34.04893,-111.09373,1
Measles,33.44838,-112.07404,1
Measles,35.03130,-110.47163,7
Whooping Cough,33.240560,-109.283153,8
Measles,35.20523,-91.82562,2
Measles,36.778261,-119.417932,28
Measles,34.17053,-118.53234,2
Measles,37.05134,-122.0733,2
Measles,37.85341,-121.9018,4
Measles,33.95335,-117.39616,3
Measles,37.56299,-122.32553,5
Measles,37.60169,-121.71955,4
Measles,34.38718,-118.11227,10
Measles,37.35411,-121.95524,1
Measles,36.60024,-121.89468,2
Measles,33.71747,-117.83114,22
Measles,35.49373,-118.85968,1
Measles,32.71533,-117.15726,6
Measles,33.94159,-118.40853,4
Measles,33.81049,-117.91900,129
Measles,34.95921,-116.41939,3
Measles,37.87159,-122.27275,1
Measles,40.56811,-74.59502,1
Whooping Cough,39.9652553,-74.3118212,3
Measles,38.75408,-96.06445,175
Mumps,36.778261,-119.7932,9
Mumps,37.87533,-122.24556,29
Whooping Cough,36.778261,-119.417932,1496
Whooping Cough,36.888261,-119.417932,5270
Whooping Cough,36.99954,-119.417932,1
Whooping Cough,36.778261,-119.417932,5
Whooping Cough,34.2642,-119.417932,4100
Whooping Cough,37.467380,-126.339112,10831
Whooping Cough,37.91759, -121.17104 ,23
Other,37.76922,-122.44814,1
Measles,41.14084,-73.26126,2
Measles,41.32669,-72.80428,1
Other,39.550051,-105.782067,5
Whooping Cough,40.01499,-105.27055,37
Whooping Cough,39.64026,-106.3742,1510
Whooping Cough,40.53713,-102.34639,14
Whooping Cough,40.5266,-104.48,116
Measles,39.52806,-104.86972,2
Measles,39.64026,-106.37420,1
Measles,38.92028,-77.03344,2
Measles,39.29067,-75.63437,1
Whooping Cough,39.14406,-75.43447,48
Measles,39.53930,-75.66736,1
Measles,27.664827,-81.015754,1
Measles,27.664827,-81.515754,5
Measles,28.71317,-81.20782,2
Measles,26.1901,-80.36586,1
Measles,28.53834,-81.37924,1
Measles,28.34263,-81.52640,1
Measles,27.69477, -80.54384 ,5
Whooping Cough,26.1901,-80.36586,4
Whooping Cough,27.99036,-82.30177,40
Other,27.664827,-81.515754,41
Whooping Cough,32.157435,-82.907123,247
Measles,32.17507,-82.85450,1
Measles,34.23585, -84.14351 ,1
Measles,36.90194,-89.82361,1
Measles,19.89677,-155.58278,1
Measles,22.0833,-159.5000,12
Whooping Cough,44.068202,-114.742041,77
Whooping Cough,42.58364,-112.14302,1
Whooping Cough,43.47877,-116.24203,287
Mumps,46.72881,-117.01261,10
Mumps,43.61871,-116.21461,21
Whooping Cough,42.30401,-88.4016,313
Whooping Cough,38.90414,-89.92532,19
Measles,40.38851,-90.6773,2
Measles,39.78172, -89.65015 ,15
Whooping Cough,39.0108,-89.7878,24
Mumps,40.11059,-88.20727,100
